44266	127.1	4
63307	127.16	2
44265	127.2	2
44270	127.5	3
29342	1270	8
58375	12700	3
29343	1271	9
29344	1272	3
51823	1273	4
93635	1274mm	2
29346	1275	5
88486	127502	2
29347	1276	5
127464	1277	8
29338	1278	5
17814	12786	2
127220	1279	5
85585	128	41
16168	128.1	2
16170	128.6	2
119288	1280	4
119287	1281	4
13196	1282	3
119289	1283	6
12762	1284	2
119283	1285	4
72978	1285216	2
119286	1286	7
119285	1287	5
95572	12878	2
119293	1288	2
119292	1289	3
67510	128mm	2
85586	129	24
73364	129.35	2
59270	129.41	2
20267	129.6	2
105911	129.86	2
15708	1290	5
15709	1291	5
15707	1292	5
85762	12928.3	2
99299	12933	2
15712	1294	4
56105	1294682	2
15713	1295	3
6804	1295700	2
15710	1296	3
15711	1297	4
73789	12972	2
93816	1298	3
15705	1299	7
119621	12KM	2
100881	12cm	3
39440	12km	2
103890	13	708
79790	13.0	5
86479	13.04	3
86478	13.05	2
18149	13.08	2
79791	13.1	11
62926	13.15	2
79788	13.2	16
7799	13.20	3
7800	13.23	2
7797	13.26	3
104699	13.3	21
110858	13.34	2
19584	13.35	2
110856	13.36	4
31806	13.37	2
79786	13.4	17
120669	13.47	2
121504	13.48	2
104694	13.5	31
96060	13.53	2
96062	13.57	2
104685	13.6	11
39633	13.64	2
105450	13.66	2
79785	13.7	11
16944	13.74	5
16945	13.75	2
102013	13.78	4
104677	13.8	12
21382	13.81	2
21385	13.84	2
21384	13.86	2
104682	13.9	18
126010	13.95	2
109943	130	183
45757	130.4	2
31344	130.74	2
33055	1300	120
117697	13000	14
117720	1300g	2
33056	1301	3
33057	1302	4
33051	1304	2
33956	1304700	2
33053	1306	3
56752	130715	2
33060	1308	5
103228	1309	4
77344	130CM	2
33111	130E	2
33118	130H	2
109942	131	26
32613	131.2	2
120939	131.22	2
72877	131.6	2
12361	131.82	2
35144	131.91	2
10280	1310	3
10227	13100	2
10279	1311	2
89468	13123	2
10278	1313	4
61420	1314	5
10276	1315	5
10275	1316	4
94075	1316.14	2
56354	13178288688	2
10286	1319	5
35554	1319.1	2
26487	131957	2
109941	132	29
92654	132.12	2
87180	132.65	2
114085	132.8	2
119041	1320	9
119005	1322	4
124501	13243	2
113660	1325	3
2888	1325968	2
113658	1326	4
113659	1327	5
119161	1328	6
113662	1329	2
109940	133	37
32164	133.25	2
12283	133.84	2
89165	1330	7
48306	13300	5
89164	1331	5
75930	1331.6	2
71583	13317	2
89166	1333	4
89161	1334	2
89163	1336	2
56289	1336.69	2
48665	1336453	2
89162	1337	9
89157	1339	2
29168	1339791	2
109947	134	23
113555	134.24	2
108070	134.5	2
65507	1340	5
65508	1342	5
65509	1343	6
19758	1344	2
1749	1344839	2
65511	1345	3
65512	1347	9
65503	1348	3
65504	1349	2
109946	135	54
36800	135.00	2
40356	135.7	2
42217	1350	24
42216	1351	3
42215	1352	4
12622	1352833	2
